Apport_par_ha,Eau_par_jour,Temperature,lumiere,type_sol,Cycle,Salinite,Speculations
700,45000,17,1,1,120,1,carotte
425,80000,25,0,1,180,1,Patate
40000,40000,20,0,5,360,1,Aubergine
20000,200000,20,0,3,93,1,laitue
500,8000,18,0,1,100,0,Chou
35,100000,30,1,1,160,1,gombo
20000,9000,24,0,3,85,1,tomate
700,10000,17,0,3,70,1,navet
400,20000,28,0,4,120,1,melon
40000,20000,18,1,5,90,1,courge
35000,37000,24,1,0,90,1,concombre
30000,10000,30,1,5,105,1,Poivron
20000,8000,24,1,1,240,1,piment
20000,50000,25,1,0,190,1,oignon 
200,23000,25,0,1,300,1,Manioc
20000,60000,20,1,0,90,1,pomme_de_terre
500,10000,30,0,0,180,1,Bisaap
100,2900,25,1,1,120,0,persil
